probe_id,probe_reference,agency_id,portal,property_address,property_url,property_price,property_status,enquiry_text,probe_email,probe_phone,probe_timestamp,observation_deadline,probe_status,compromised,compromise_reason,observation_closed_at,sent_from,observation_notes,created_at,updated_at
prb_hist_0010,HIST-0010,ag_hist_chalmersagency,rightmove,"Flat 7, 151A High Street, Brentwood",,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-10T21:12:56Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-10 22:12:56 Europe/London (BST). probe_timestamp_source_value=2026-08-10 22:12:56; probe_timestamp_source_timezone=Europe/London (BST) — UNCERTAIN,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0011,HIST-0011,ag_hist_carterremy,rightmove,"142 Belhouse Avenue, South Ockendon, RM15 4BF",https://carterremy.co.uk/property/bowers-court-drive-bowers-gifford/,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:18:38Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-11 21:18:38 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:18:38.342; probe_timestamp_source_timezone=UTC,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0012,HIST-0012,ag_hist_periodhomes,rightmove,"5 Milton Road, Warley",,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:19:53Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-11 21:19:53 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:19:53.750; probe_timestamp_source_timezone=UTC,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0013,HIST-0013,ag_hist_wnproperties,rightmove,Bounderby Grove,https://www.wnproperties.co.uk/properties-for-sale/property/12854284-church-road-ramsden-bellhouse-billericay,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:21:04Z,,observing,,,,,"Source lead-sheet Probe Sent: 2026-08-11 21:21:04 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:21:04.454; probe_timestamp_source_timezone=UTC; property_address_evidenced=UNKNOWN, fell back to property_address_recorded",2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0014,HIST-0014,ag_hist_keithashton,rightmove,Hammonds Lane,https://www.keithashton.co.uk/property/the-windmill-cottage-mill-lane-high-ongar-ongar/,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:21:55Z,,observing,,,,,"Source lead-sheet Probe Sent: 2026-08-11 21:21:55 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:21:55.503; probe_timestamp_source_timezone=UTC; property_address_evidenced=UNKNOWN, fell back to property_address_recorded",2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0015,HIST-0015,ag_hist_hsestateagents,rightmove,"6 Ingrave House, Ingrave Road",,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:22:32Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-11 21:22:32 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:22:32.473; probe_timestamp_source_timezone=UTC,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0016,HIST-0016,ag_hist_meacockjones,rightmove,Gresham Close,https://www.meacockjones.co.uk/property/childerditch-street-little-warley-cm13/meaco-001098/1,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:23:05Z,,observing,,,,,"Source lead-sheet Probe Sent: 2026-08-11 21:23:05 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:23:05.439; probe_timestamp_source_timezone=UTC; property_address_evidenced=UNKNOWN, fell back to property_address_recorded",2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0017,HIST-0017,ag_hist_tinsleys,rightmove,Sunnyside,https://www.tinsleys.co.uk/property/area-guides/ingatestone,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:23:44Z,,observing,,,,,"Source lead-sheet Probe Sent: 2026-08-11 21:23:44 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:23:44.121; probe_timestamp_source_timezone=UTC; property_address_evidenced=UNKNOWN, fell back to property_address_recorded",2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0018,HIST-0018,ag_hist_smoothmoveestates,rightmove,"32 Palliser Drive, Rainham, RM13 9TG",https://www.rightmove.co.uk/properties/173703929,,,Rightmove property enquiry. Declared: wants more details on this property. NO property-to-sell declaration present.,joe@getnovus.co.uk,7455506761,2026-08-11T21:25:05Z,,observing,TRUE,No property-to-sell declaration present; subject line pattern differs. Did not test sell-side behaviour.,,,Source lead-sheet Probe Sent: 2026-08-11 21:25:05 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:25:05.735; probe_timestamp_source_timezone=UTC,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0019,HIST-0019,ag_hist_blueprintproperties,rightmove,Rayleigh Road (exact property not evidenced),https://www.blueprintproperties.co.uk/property/2041-exclusive-collection-of-five-stunning-country-barns,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:26:34Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-11 21:26:34 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:26:34.213; probe_timestamp_source_timezone=UTC,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0020,HIST-0020,ag_hist_farsonspropertygroup,rightmove,"Flat 3, Clive House, 61 Shenfield Road",,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:27:52Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-11 21:27:52 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:27:52.708; probe_timestamp_source_timezone=UTC,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0021,HIST-0021,ag_hist_mccartneyestateagents,rightmove,Moulsham Street,https://www.mccartneyestateagents.co.uk/property/509-brimfield-road-watts-wood-purfleet-essex-rm19-1rq,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:31:20Z,,observing,,,,,"Source lead-sheet Probe Sent: 2026-08-11 21:31:20 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:31:20.068; probe_timestamp_source_timezone=UTC; property_address_evidenced=UNKNOWN, fell back to property_address_recorded",2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0022,HIST-0022,ag_hist_thehomepartnership,rightmove,UNKNOWN — auto-ack does not name a property,https://www.thehomepartnership.co.uk/property/brook-end-road-north-chancellor-park-chelmsford/,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:32:40Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-11 21:32:40 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:32:40.955; probe_timestamp_source_timezone=UTC; property_address_evidenced partially unresolved: UNKNOWN — auto-ack does not name a property,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0023,HIST-0023,ag_hist_charlesdavidcasson,rightmove,"19 Lambourne Chase, Chelmsford, CM2 9FF",https://www.charlesdavidcasson.co.uk/property/donald-way-moulsham-lodge-investors-only/,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:35:17Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-11 21:35:17 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:35:17.962; probe_timestamp_source_timezone=UTC,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_hist_0024,HIST-0024,ag_hist_kilnandlodgeestates,rightmove,"12 Hamilton Court, Powell Road, Basildon, SS15 6HZ",https://www.rightmove.co.uk/properties/89913738,,,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe@getnovus.co.uk,7455506761,2026-08-11T21:36:02Z,,observing,,,,,Source lead-sheet Probe Sent: 2026-08-11 21:36:02 Europe/London (BST). probe_timestamp_source_value=2026-08-11 21:36:02.282; probe_timestamp_source_timezone=UTC,2026-08-15T22:24:49Z,2026-08-15T22:24:49Z
prb_msxs8lkv_5sgkpr,RM-0027,ag_test_andrewgranger_novus,rightmove,"Fairmeadows Way, Loughborough, LE11",https://www.rightmove.co.uk/properties/91747887#/?channel=RES_BUY,"£390,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:05:36.858Z,2026-08-21T22:05:36.858Z,observing,FALSE,,,,,2026-08-17T22:05:29.791Z,2026-08-17T22:05:36.858Z
prb_msxsz07w_ci65jk,RM-0028,ag_hist_cheffins-newmarket-cmj2,rightmove,"Persimmon Walk, Newmarket, CB8",https://www.rightmove.co.uk/properties/91304688#/?channel=RES_BUY,"£280,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:32:00.456Z,2026-08-21T22:32:00.456Z,observing,FALSE,,,,,2026-08-17T22:26:01.820Z,2026-08-17T22:32:00.456Z
prb_msxt7p9t_wnlcld,RM-0029,ag_hist_pocock-shaw-m31t,rightmove,"Cage Hill, Swaffham Prior, Cambridge, Cambridgeshire, CB25",https://www.rightmove.co.uk/properties/172633139#/?channel=RES_BUY,"£372,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:33:14.677Z,2026-08-21T22:33:14.677Z,observing,FALSE,,,,,2026-08-17T22:32:47.537Z,2026-08-17T22:33:14.677Z
prb_msxt8w4a_oxvkl9,RM-0030,ag_hist_david-burr-tfbj,rightmove,"Newmarket, Suffolk, CB8",https://www.rightmove.co.uk/properties/91490577#/?channel=RES_BUY,"£250,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:33:50.236Z,2026-08-21T22:33:50.236Z,observing,FALSE,,,,,2026-08-17T22:33:43.066Z,2026-08-17T22:33:50.236Z
prb_msxta3fe_56unf9,RM-0031,ag_hist_ensum-brown-ex9i,rightmove,"Barn Field, Chevington, IP29",https://www.rightmove.co.uk/properties/174707531#/?channel=RES_BUY,"£375,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:34:41.149Z,2026-08-21T22:34:41.149Z,observing,FALSE,,,,,2026-08-17T22:34:39.194Z,2026-08-17T22:34:41.149Z
prb_msxtaq16_5krde9,RM-0032,ag_hist_morris-armitage-wg41,rightmove,"George Lambton Avenue, Newmarket, CB8",https://www.rightmove.co.uk/properties/92022573#/?channel=RES_BUY,"£275,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:35:11.094Z,2026-08-21T22:35:11.094Z,observing,FALSE,,,,,2026-08-17T22:35:08.490Z,2026-08-17T22:35:11.094Z
prb_msxtbczc_tjx5q6,RM-0033,ag_hist_tylers-estate-1rwa,rightmove,"Toyse Lane, Burwell, Cambridge, CB25",https://www.rightmove.co.uk/properties/92086311#/?channel=RES_BUY,"£260,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:35:50.521Z,2026-08-21T22:35:50.521Z,observing,FALSE,,,,,2026-08-17T22:35:38.232Z,2026-08-17T22:35:50.521Z
prb_msxtcfp6_ebl5yn,RM-0034,ag_hist_countryside-estates-q72g,rightmove,"Cherry View Beech Road, Hadleigh, SS7",https://www.rightmove.co.uk/properties/91755816#/?channel=RES_BUY,"£390,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:36:33.028Z,2026-08-21T22:36:33.028Z,observing,FALSE,,,,,2026-08-17T22:36:28.410Z,2026-08-17T22:36:33.028Z
prb_msxtd2eq_3aad13,RM-0035,ag_hist_aspire-estate-aus5,rightmove,"Peregrine Drive, Benfleet, SS7",https://www.rightmove.co.uk/properties/174517373#/?channel=RES_BUY,"£315,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:36:59.615Z,2026-08-21T22:36:59.615Z,observing,FALSE,,,,,2026-08-17T22:36:57.842Z,2026-08-17T22:36:59.615Z
prb_msxtdvbv_p95lot,RM-0036,ag_hist_morgan-brookes-2cp4,rightmove,"Bournemouth Park Road, Southend-On-Sea, SS2",https://www.rightmove.co.uk/properties/173618237#/?channel=RES_BUY,"£260,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:37:37.633Z,2026-08-21T22:37:37.633Z,observing,FALSE,,,,,2026-08-17T22:37:35.323Z,2026-08-17T22:37:37.633Z
prb_msxtehim_kxpw64,RM-0037,ag_hist_fisks-ltd-d8u5,rightmove,"London Road, Benfleet, SS7",https://www.rightmove.co.uk/properties/91904856#/?channel=RES_BUY,"£200,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:38:06.075Z,2026-08-21T22:38:06.075Z,observing,FALSE,,,,,2026-08-17T22:38:04.078Z,2026-08-17T22:38:06.075Z
prb_msxtfg2m_kg7i2u,RM-0038,ag_hist_robert-michael-zuab,rightmove,"Silverdale Avenue, Westcliff On Sea, SS0",https://www.rightmove.co.uk/properties/89252160#/?channel=RES_BUY,"£285,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:38:51.867Z,2026-08-21T22:38:51.867Z,observing,FALSE,,,,,2026-08-17T22:38:48.862Z,2026-08-17T22:38:51.867Z
prb_msxtgdkf_u5lr0v,RM-0039,ag_hist_brown-brand-28l8,rightmove,"Louvain Road, Greenhithe, DA9",https://www.rightmove.co.uk/properties/92027121#/?channel=RES_BUY,"£170,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:39:35.034Z,2026-08-21T22:39:35.034Z,observing,FALSE,,,,,2026-08-17T22:39:32.271Z,2026-08-17T22:39:35.034Z
prb_msxtgzga_radvon,RM-0040,ag_hist_richard-poyntz-d7ni,rightmove,"Rylands Road, Southend-On-Sea, SS2",https://www.rightmove.co.uk/properties/91884690#/?channel=RES_BUY,"£160,000",,"Rightmove property enquiry. Declared: has a property to sell, yes, it is not yet on the market; wants more details on this property.",joe.novus2@gmail.com,+447575333064,2026-08-17T22:40:02.349Z,2026-08-21T22:40:02.349Z,observing,FALSE,,,,,2026-08-17T22:40:00.634Z,2026-08-17T22:40:02.349Z
SCHEMA NOTE,One row per actual probe. probe_reference is the human-readable identifier.,,,,,,,,,,,,,,,,,,,
